Date,Opponent,Location,Result,German Goals,Opponent Goals,Ref Nation
2000-02-23,Netherlands,Netherlands,L,1,2,Italy
2000-03-29,Croatia,Croatia,D,1,1,Slovakia
2000-04-26,Switzerland,Germany,D,1,1,Sweden
2000-06-03,Czech Republic,Germany,W,3,2,Italy
2000-06-07,Liechtenstein,Germany,W,8,2,Austria
2000-06-12,Romania,Belgium,D,1,1,Denmark
2000-06-17,England,Belgium,L,0,1,Italy
2000-06-20,Portugal,Netherlands,L,0,3,Netherlands
2000-08-16,Spain,Germany,W,4,1,Denmark
2000-09-02,Greece,Germany,W,2,0,Spain
2000-10-07,England,London,W,1,0,Italy
2000-11-15,Denmark,Denmark,L,1,2,Austria
2001-02-27,France,France,L,0,1,Italy
2001-03-24,Albania,Germany,W,2,1,Italy
2001-03-28,Greece,Greece,W,4,2,Portugal
2001-05-29,Slovakia,Germany,W,2,0,France
2001-06-02,Finland,Finland,D,2,2,Netherlands
2001-06-06,Albania,Albania,W,2,0,France
2001-08-15,Hungary,Hungary,W,5,2,Spain
2001-09-01,England,Germany,L,1,5,Italy
2001-10-06,Finland,Germany,D,0,0,Sweden
2001-11-10,Ukraine,Ukraine,D,1,1,Italy
2002-11-14,Ukraine,Germany,W,4,1,Portugal
2002-02-13,Israel,Germany,W,7,1,England
2002-03-27,United States,Germany,W,4,2,Austria
2002-04-17,Argentina,Germany,L,0,1,Spain
2002-05-09,Kuwait,Germany,W,7,0,Sweden
2002-05-14,Wales,Wales,L,0,1,Norway
2002-05-18,Austria,Germany,W,6,2,Switzerland
2002-06-01,Saudi Arabia,Japan,W,8,0,Paraguay
2002-06-05,Republic of Ireland,Japan,D,1,1,Denmark
2002-06-11,Cameroon,Japan,W,2,0,Spain
2002-06-15,Paraguay,South Korea,W,1,0,Guatemala
2002-06-21,United States,South Korea,W,1,0,Scotland
2002-06-25,South Korea,South Korea,W,1,0,Switzerland
2002-06-30,Brazil,Japan,L,0,2,Italy
2002-08-21,Bulgaria,Bulgaria,D,2,2,France
2002-09-07,Lithuania,Lithuania,W,2,0,England
2002-10-11,Bosnia and Herzegovina,Bosnia and Herzegovina,D,1,1,Italy
2002-10-16,Faroe Islands,Germany,W,2,1,Israel
2002-11-20,Netherlands,Germany,L,1,3,Scotland
2003-02-12,Spain,Spain,L,1,3,England
2003-03-29,Lithuania,Germany,D,1,1,Spain
2003-04-30,Serbia and Montenegro,Germany,W,1,0,Belgium
